id;fr;en;primary;secondary;weightType;includeBodyweight
6922144d1c858345acc2d11a;Développé Arnold;Arnold Press;chest;deltoids_front|triceps;external_free;false
6922144d1c858345acc2d11d;Soulevé de terre jambes tendues;Stiff Leg Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144d1c858345acc2d120;Écarté incliné haltères;Incline Dumbbell Fly;chest;deltoids_front|triceps;external_free;false
6922144d1c858345acc2d123;Élévations postérieures haltères;Dumbbell Reverse Fly;chest;deltoids_front|triceps;external_free;false
6922144d1c858345acc2d126;Épaulé depuis les cuisses;Hang Clean;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
6922144d1c858345acc2d129;Curl concentration haltères;Dumbbell Concentration Curl;biceps;forearms;external_free;false
6922144d1c858345acc2d12c;Pompes déclinées;Decline Push Up;chest;deltoids_front|triceps;bodyweight_plus_external;true
6922144d1c858345acc2d12f;Crunchs poulie;Cable Crunch;abs;obliques|quads;external_machine;false
6922144d1c858345acc2d132;Élévations frontales haltères;Dumbbell Front Raise;deltoids_side;deltoids_front|deltoids_rear|triceps;external_free;false
6922144d1c858345acc2d135;Extensions lombaires;Back Extension;spinal_erectors;glutes|hamstrings;bodyweight_plus_external;true
6922144d1c858345acc2d138;Tractions à un bras;One Arm Pull Ups;lats;upper_back|biceps|forearms;bodyweight_plus_external;true
6922144d1c858345acc2d13b;Extension triceps à la barre;Bar Tricep Extension;triceps;deltoids_front;external_free;false
6922144d1c858345acc2d13e;Dips assis machine;Seated Dip Machine;chest;deltoids_front|triceps;external_machine;false
6922144d1c858345acc2d142;Développé au sol;Floor Press;chest;deltoids_front|triceps;external_free;false
6922144d1c858345acc2d145;Pull-over haltères;Dumbbell Pullover;lats;upper_back|biceps|forearms;external_free;false
6922144d1c858345acc2d148;Abduction de hanche;Hip Abduction;abductors;glutes;external_free;false
6922144e1c858345acc2d14b;Écarté poulie;Cable Fly;chest;deltoids_front|triceps;external_machine;false
6922144e1c858345acc2d14f;Squat à une jambe;Single Leg Squat;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d152;Développé au sol haltères;Dumbbell Floor Press;chest;deltoids_front|triceps;external_free;false
6922144e1c858345acc2d155;Fentes barre;Barbell Lunge;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d158;Pompes en équilibre;Handstand Push Ups;chest;deltoids_front|triceps;bodyweight_plus_external;true
6922144e1c858345acc2d15b;Squat haltères;Dumbbell Squat;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d15e;Thruster;Thruster;quads;glutes|deltoids_front|triceps;external_free;false
6922144e1c858345acc2d162;Extension Mollets barre;Barbell Calf Raise;calves;;external_free;false
6922144e1c858345acc2d166;Pompes prise serrée;Close Grip Push Up;chest;deltoids_front|triceps;bodyweight_plus_external;true
6922144e1c858345acc2d169;Extensions mollets;Bodyweight Calf Raise;calves;;external_free;false
6922144e1c858345acc2d16c;Curl poignets;Wrist Curl;biceps;forearms;external_free;false
6922144e1c858345acc2d16f;Squat overhead;Overhead Squat;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d173;Relevés de buste déclinés;Decline Sit Up;abs;obliques|quads;bodyweight_plus_external;false
6922144e1c858345acc2d176;Relevés de jambes allongé;Lying Leg Raise;abs;obliques|quads;bodyweight_plus_external;false
6922144e1c858345acc2d179;Extension triceps allongé haltères;Lying Dumbbell Tricep Extension;triceps;deltoids_front;external_free;false
6922144e1c858345acc2d17c;Pont fessier;Glute Bridge;glutes;quads|hamstrings|calves;external_free;false
6922144e1c858345acc2d17f;Développé couché avec pause;Paused Bench Press;chest;deltoids_front|triceps;external_free;false
6922144e1c858345acc2d182;Arraché explosif;Power Snatch;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
6922144e1c858345acc2d185;Dips sur banc;Bench Dips;chest;deltoids_front|triceps;bodyweight_plus_external;true
6922144e1c858345acc2d188;Développé nuque;Behind The Neck Press;chest;deltoids_front|triceps;external_free;false
6922144e1c858345acc2d18b;Fente statique;Split Squat;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d18e;Élévations postérieures poulie;Cable Reverse Fly;chest;deltoids_front|triceps;external_machine;false
6922144e1c858345acc2d191;Élévations postérieures machine;Machine Reverse Fly;chest;deltoids_front|triceps;external_machine;false
6922144e1c858345acc2d194;Extension triceps au dessus de la tête poulie;Cable Overhead Tricep Extension;triceps;deltoids_front;external_machine;false
6922144e1c858345acc2d197;Soulevé de terre haltères;Dumbbell Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144e1c858345acc2d19a;Epaulé-jeté poussé;Push Jerk;quads;glutes|deltoids_front|triceps;external_free;false
6922144e1c858345acc2d19d;Extension mollets haltères;Dumbbell Calf Raise;calves;;external_free;false
6922144e1c858345acc2d1a0;Squat sauté;Squat Jump;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d1a3;Squat sissy;Sissy Squat;quads;glutes|hamstrings|calves;external_free;false
6922144e1c858345acc2d1a6;Curl inversé barre;Reverse Barbell Curl;biceps;forearms;external_free;false
6922144e1c858345acc2d1a9;Extension triceps haltères kickback;Dumbbell Tricep Kickback;triceps;deltoids_front;external_free;false
6922144e1c858345acc2d1ac;Développé décliné haltères;Decline Dumbbell Bench Press;chest;deltoids_front|triceps;external_free;false
6922144e1c858345acc2d1af;Développé couché haltères prise serrée;Close Grip Dumbbell Bench Press;chest;deltoids_front|triceps;external_free;false
6922144e1c858345acc2d1b2;Tirage vertical prise inversée;Reverse Grip Lat Pulldown;lats;upper_back|biceps|forearms;external_machine;false
6922144e1c858345acc2d1b5;Extension mollets presse inclinée;Sled Press Calf Raise;calves;;external_free;false
6922144f1c858345acc2d1b8;Presse à une jambe;Single Leg Press;chest|quads;deltoids_front|triceps|glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1bb;Pompes inclinées;Incline Push Up;chest;deltoids_front|triceps;bodyweight_plus_external;true
6922144f1c858345acc2d1be;Fentes inversées barre;Barbell Reverse Lunge;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1c1;Squat ceinture;Belt Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1c4;Pont fessier barre;Barbell Glute Bridge;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1c7;Développé couché prise inversée;Reverse Grip Bench Press;chest;deltoids_front|triceps;external_free;false
6922144f1c858345acc2d1ca;Fentes inversées;Reverse Lunge;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1cd;Curl jambe debout;Standing Leg Curl;biceps|hamstrings;forearms|glutes;external_machine;false
6922144f1c858345acc2d1d0;Tirage poulie;Cable Pull Through;glutes;hamstrings|spinal_erectors;external_machine;false
6922144f1c858345acc2d1d3;Squat landmine;Landmine Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1d6;Curl pupitre un bras haltères;One Arm Dumbbell Preacher Curl;biceps;forearms;external_free;false
6922144f1c858345acc2d1d9;Tirage bras tendus;Straight Arm Pulldown;lats;upper_back|biceps|forearms;external_machine;false
6922144f1c858345acc2d1dc;Squat safety bar;Safety Bar Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1df;Soulevé de terre pieds surélevés;Deficit Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144f1c858345acc2d1e2;Rowing vertical haltères;Dumbbell Upright Row;lats;upper_back|biceps|forearms;external_free;false
6922144f1c858345acc2d1e5;Curl poignets haltères;Dumbbell Wrist Curl;biceps;forearms;external_free;false
6922144f1c858345acc2d1e8;Curl strict;Strict Curl;biceps;forearms;external_free;false
6922144f1c858345acc2d1ec;Extensions lombaire machine;Machine Back Extension;spinal_erectors;glutes|hamstrings;external_machine;false
6922144f1c858345acc2d1ef;Crunchs déclinés;Decline Crunch;abs;obliques|quads;external_free;false
6922144f1c858345acc2d1f2;Squat sumo;Sumo Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d1f5;Épaulé explosif depuis les cuisses;Hang Power Clean;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
6922144f1c858345acc2d1f8;Soulevé de terre avec pause;Pause Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144f1c858345acc2d1fb;Curl biceps un bras poulie;One Arm Cable Bicep Curl;biceps;forearms;external_machine;false
6922144f1c858345acc2d1fe;Soulevé de terre roumain une jambe;Single Leg Romanian Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144f1c858345acc2d201;Hack squat barre;Barbell Hack Squat;quads;glutes|hamstrings|calves;external_free;false
6922144f1c858345acc2d204;Rowing barre sur banc;Bench Pull;chest|lats;deltoids_front|triceps|upper_back|biceps|forearms;external_free;false
6922144f1c858345acc2d207;Extension triceps machine;Machine Tricep Extension;triceps;deltoids_front;external_machine;false
